food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11720611,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",9402,"Formula, ready-to-feed",64,7.12,0.0,5.69,3.28,1.409,1.6,1,1 fl oz,30.5,19.5,2.2,0.0,1.7,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720617,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",9404,"Formula, prepared from powder",64,7.12,0.0,5.69,3.28,1.409,1.6,1,1 fl oz,30.5,19.5,2.2,0.0,1.7,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720618,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",9404,"Formula, prepared from powder",64,7.12,0.0,5.69,3.28,1.409,1.6,1,1 fl oz,30.5,19.5,2.2,0.0,1.7,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720619,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",9404,"Formula, prepared from powder",64,7.12,0.0,5.69,3.28,1.409,1.6,1,1 fl oz,30.5,19.5,2.2,0.0,1.7,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720809,"Infant formula, store brand, soy",9404,"Formula, prepared from powder",66,6.9,0.0,6.76,3.51,1.306,1.61,0,1 fl oz,30.5,20.1,2.1,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740311,"Infant formula, Enfamil Nutramigen, ready-to-feed",9402,"Formula, ready-to-feed",67,6.94,0.0,6.6,3.49,1.462,1.82,0,1 fl oz,30.5,20.4,2.1,0.0,2.0,1.1,0.4,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740313,"Infant formula, Enfamil Nutramigen, powder, made with water",9404,"Formula, prepared from powder",67,6.94,0.0,6.6,3.49,1.462,1.82,0,1 fl oz,30.5,20.4,2.1,0.0,2.0,1.1,0.4,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740401,"Infant formula, Enfamil Pregestimil, ready-to-feed",9402,"Formula, ready-to-feed",67,6.76,0.0,6.6,3.62,2.135,1.81,0,1 fl oz,30.5,20.4,2.1,0.0,2.0,1.1,0.7,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740403,"Infant formula, Enfamil Pregestimil, powder, made with water",9404,"Formula, prepared from powder",67,6.76,0.0,6.6,3.62,2.135,1.81,0,1 fl oz,30.5,20.4,2.1,0.0,2.0,1.1,0.7,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740405,"Infant formula, amino acids",9404,"Formula, prepared from powder",66,7.21,0.0,6.6,3.36,1.333,1.8,0,1 fl oz,30.5,20.1,2.2,0.0,2.0,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11740560,"Infant formula, low iron",9404,"Formula, prepared from powder",66,6.9,0.0,6.58,3.6,1.534,1.43,2,1 fl oz,30.5,20.1,2.1,0.0,2.0,1.1,0.5,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11810000,"Milk, dry, not reconstituted",9999,Not included in a food category,362,51.98,0.0,51.98,0.77,0.499,36.16,20,1 cup,128.0,463.4,66.5,0.0,66.5,1.0,0.6,46.3,True,True,True,False,1,high,USDA FNDDS 2021-2023
11825000,"Whey, sweet, dry",9999,Not included in a food category,353,74.46,0.0,74.46,1.07,0.684,12.93,6,1 tablespoon,7.5,26.5,5.6,0.0,5.6,0.1,0.1,1.0,False,False,True,False,0,low,USDA FNDDS 2021-2023
11830150,"Cocoa powder, not reconstituted",9999,Not included in a food category,228,57.9,37.0,1.75,13.7,8.07,19.6,0,1 tablespoon,5.0,11.4,2.9,1.8,0.1,0.7,0.4,1.0,False,False,True,False,0,low,USDA FNDDS 2021-2023
11830160,"Chocolate beverage powder, dry mix, not reconstituted",9999,Not included in a food category,400,90.28,4.5,81.82,2.27,2.273,4.55,0,1 tablespoon,10.0,40.0,9.0,0.4,8.2,0.2,0.2,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11830165,"Chocolate beverage powder, light, dry mix, not reconstituted",9999,Not included in a food category,350,68.31,9.1,27.27,4.5,0.0,9.09,0,1 tablespoon,10.0,35.0,6.8,0.9,2.7,0.4,0.0,0.9,False,False,True,False,0,low,USDA FNDDS 2021-2023
11830260,"Milk, malted, dry mix, not reconstituted",9999,Not included in a food category,372,92.96,0.0,72.73,0.0,0.0,0.0,0,1 tablespoon,5.5,20.5,5.1,0.0,4.0,0.0,0.0,0.0,False,False,True,False,0,low,USDA FNDDS 2021-2023
11830400,"Strawberry beverage powder, dry mix, not reconstituted",9999,Not included in a food category,389,99.1,0.0,95.45,0.2,0.0,0.1,0,1 tablespoon,10.0,38.9,9.9,0.0,9.5,0.0,0.0,0.0,False,False,True,False,0,low,USDA FNDDS 2021-2023
12100100,"Cream, NS as to light, heavy, or half and half",8008,Cream and cream substitutes,131,4.3,0.0,4.13,11.5,7.032,3.13,35,1 cup,240.0,314.4,10.3,0.0,9.9,27.6,16.9,7.5,False,False,True,True,0,medium,USDA FNDDS 2021-2023
